,loc_x,loc_y,delivery_amnt,pickup_amnt,cust_count,vehicle_cap,vehicle_count
0,141.23199766656208,31.798401987289537,0.0,3.0,10.0,9.0,6.0
1,33.60818671905512,31.70383948820762,0.0,4.0,,5.0,
2,103.35794495334211,92.24903741274225,0.0,4.0,,9.0,
3,159.46142994159715,9.461645164282828,0.0,3.0,,6.0,
4,127.0801165412341,11.717161479887228,0.0,1.0,,7.0,
5,199.2548445359534,99.88448544175903,0.0,4.0,,8.0,
6,9.231068471429937,97.15614733265706,0.0,4.0,,,
7,89.6992421145127,67.49189436848724,0.0,1.0,,,
8,43.660051261745814,59.600833593997294,0.0,1.0,,,
9,148.18687920862322,22.796801642813136,0.0,1.0,,,
10,86.38848316484949,44.622066160427785,,,,,
