,loc_x,loc_y,delivery_amnt,pickup_amnt,cust_count,vehicle_cap,vehicle_count
0,133.60023827693644,47.3764223821194,0.0,1.0,10.0,5.0,6.0
1,164.98196941202622,10.15189798036813,0.0,1.0,,7.0,
2,59.02889877348871,62.91214804214638,0.0,3.0,,5.0,
3,37.689886705072496,39.732848525052745,0.0,3.0,,5.0,
4,144.1820237086651,12.3926452653627,0.0,1.0,,8.0,
5,159.51484004974392,66.42806256184598,0.0,2.0,,7.0,
6,191.90245947736534,5.640547875205105,0.0,1.0,,,
7,13.418201029862043,90.76995539047711,0.0,2.0,,,
8,141.678487228277,90.29578903617194,0.0,4.0,,,
9,196.44797002743272,31.626145185090216,0.0,3.0,,,
10,107.68328749698577,34.64262457883061,,,,,
