,loc_x,loc_y,delivery_amnt,pickup_amnt,cust_count,vehicle_cap,vehicle_count
0,11.506554714816296,20.95592238503268,0.0,4.0,10.0,9.0,6.0
1,95.89174238464639,42.984362720220545,0.0,1.0,,6.0,
2,31.450955633290747,86.9693257611306,0.0,4.0,,9.0,
3,45.06628150702126,62.977998580914566,0.0,2.0,,8.0,
4,44.17477457687959,92.91930431903872,0.0,1.0,,8.0,
5,16.94190100493198,24.1406701628908,0.0,4.0,,5.0,
6,97.45006194040715,63.00987794219742,0.0,3.0,,,
7,135.18518292205633,80.92045232651046,0.0,1.0,,,
8,14.237139859623094,28.56081889918508,0.0,4.0,,,
9,32.14097471659687,88.48663187185434,0.0,4.0,,,
10,70.72901792334277,15.06387252544461,,,,,
